epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5357,1.25376,3.96106,1.47373,0.67857,0.03281,0.0172,0.01077,1.25551,4.3365,1.57798,0.000536506,0.000536506,0.000536506
2,22.633,1.4272,2.47168,1.65007,0.22264,0.52969,0.25917,0.13546,1.57878,3.88272,1.98832,0.00105613,0.00105613,0.00105613
3,25.2745,1.35248,1.80197,1.60092,0.52734,0.17808,0.24682,0.12928,1.67942,3.25799,2.08404,0.00153908,0.00153908,0.00153908
4,27.9508,1.37952,1.73112,1.60594,0.40344,0.46099,0.41816,0.21946,1.69047,2.13124,2.19573,0.00150197,0.00150197,0.00150197
5,30.6455,1.31803,1.60137,1.56276,0.61033,0.40002,0.48411,0.28239,1.49302,2.32198,1.82078,0.00144696,0.00144696,0.00144696
6,33.3699,1.30345,1.55239,1.51692,0.51335,0.50219,0.43247,0.26698,1.37026,2.46437,1.76526,0.00139195,0.00139195,0.00139195
7,36.1235,1.24149,1.4687,1.49386,0.64132,0.5054,0.53961,0.3248,1.35041,1.76437,1.68984,0.00133693,0.00133693,0.00133693
8,38.962,1.22147,1.44317,1.46806,0.45549,0.57751,0.47946,0.25374,1.53528,1.98356,1.85488,0.00128192,0.00128192,0.00128192
9,41.829,1.16966,1.35801,1.42771,0.68544,0.52374,0.58816,0.36843,1.3342,1.71029,1.64229,0.00122691,0.00122691,0.00122691
10,44.5364,1.16628,1.30679,1.40501,0.6938,0.55539,0.64346,0.40927,1.30741,1.43374,1.55592,0.0011719,0.0011719,0.0011719
11,47.393,1.06129,1.21415,1.3491,0.68691,0.52321,0.64273,0.41215,1.36189,1.65113,1.71331,0.00111689,0.00111689,0.00111689
12,50.2969,1.1152,1.22576,1.37018,0.68421,0.57235,0.6353,0.42148,1.27012,1.71177,1.55166,0.00106188,0.00106188,0.00106188
13,53.0818,1.06502,1.18461,1.33179,0.66845,0.61716,0.69644,0.44238,1.28054,1.41618,1.60969,0.00100687,0.00100687,0.00100687
14,55.8201,1.04595,1.12721,1.31601,0.74645,0.62544,0.70052,0.45794,1.19699,1.26729,1.49364,0.000951857,0.000951857,0.000951857
15,58.743,1.06958,1.11103,1.32071,0.73309,0.61106,0.68434,0.45733,1.15474,1.27779,1.50754,0.000896846,0.000896846,0.000896846
16,61.5233,1.05871,1.12352,1.33808,0.66009,0.62697,0.60576,0.41336,1.22055,1.50391,1.54667,0.000841835,0.000841835,0.000841835
17,64.2872,1.02162,1.07892,1.29185,0.72433,0.61549,0.65667,0.44008,1.19743,1.3434,1.54957,0.000786824,0.000786824,0.000786824
18,67.2767,0.9387,0.95589,1.23016,0.76869,0.64516,0.73895,0.50097,1.178,1.25071,1.53812,0.000731813,0.000731813,0.000731813
19,70.269,0.96288,0.99254,1.27062,0.75587,0.67762,0.7551,0.48656,1.22589,1.30911,1.55128,0.000676802,0.000676802,0.000676802
20,73.0632,0.95979,1.00556,1.28984,0.80148,0.64162,0.75361,0.48857,1.18067,1.08908,1.50944,0.000621791,0.000621791,0.000621791
21,80.6339,0.85623,0.9777,1.22653,0.70677,0.68927,0.74577,0.51033,1.04087,1.14464,1.37909,0.00056678,0.00056678,0.00056678
22,83.3847,0.81325,0.8026,1.21581,0.81188,0.6126,0.69741,0.49132,1.01279,1.22079,1.38743,0.000511769,0.000511769,0.000511769
23,86.0932,0.79943,0.7662,1.18485,0.82476,0.64738,0.74387,0.52221,1.06913,1.16382,1.43678,0.000456758,0.000456758,0.000456758
24,88.8886,0.80756,0.73006,1.17964,0.72887,0.68278,0.73544,0.49455,1.12327,1.25685,1.45089,0.000401747,0.000401747,0.000401747
25,91.672,0.75926,0.67034,1.16684,0.72882,0.73257,0.77437,0.53515,1.10374,1.08391,1.4535,0.000346736,0.000346736,0.000346736
26,94.4389,0.76035,0.66357,1.14141,0.80532,0.70178,0.78062,0.53148,1.05536,1.08864,1.38057,0.000291725,0.000291725,0.000291725
27,97.1794,0.71865,0.65285,1.11831,0.82999,0.59646,0.73196,0.49923,1.05426,1.13649,1.38746,0.000236714,0.000236714,0.000236714
28,100.002,0.71386,0.63923,1.115,0.75593,0.72309,0.77514,0.54076,1.04554,1.07378,1.37065,0.000181703,0.000181703,0.000181703
29,102.783,0.67554,0.56958,1.08784,0.83839,0.73604,0.79511,0.54931,1.03279,1.08683,1.38519,0.000126692,0.000126692,0.000126692
30,105.537,0.66365,0.57021,1.08168,0.78707,0.7805,0.80647,0.55912,1.01384,1.0014,1.35854,7.1681e-05,7.1681e-05,7.1681e-05
